,RF,SVM,XGB,KNN,DT
a1,3133.4459322169996,5366.175811944626,3369.0544884482188,3700.3450848000007,4429.4647
a2,1547.1148596219987,1900.7174566014146,1642.0449953804243,1628.723598400001,1785.9301499999976
a3,701.617391786,832.6402721149221,701.9691978473298,691.229276,812.3686599999996
a7,370.536576727,525.4505547802969,328.03119179793276,503.5002296000006,499.1778699999997
abalone,1226.8257240999997,1926.2424368955064,1256.9140187051826,1978.9328399999995,1769.348999999999
acceleration,30.965241197411395,81.3685027621343,22.706557458427902,119.95629999999998,65.44069250000001
airfoild,172953643.86050102,171807806852.41153,318602704.1490737,31541944282.662575,106695312.23043436
analcatdata_apnea3,29312196.661892574,56907471.8273258,44021284.24084011,40560204.86699997,42170202.133000016
available_power,5028.225958710828,13361.76136680561,6247.383832569803,18760.802280000007,7894.615004485619
boston,321.1355728040001,831.1737020658541,361.403777229085,1167.0922256000001,435.3111300000004
california,2104126659511.3843,3169222803440.2812,1879795522030.6353,3428947026304.091,3099668865709.841
cocomo_numeric,472025.72371729405,1618855.4908552275,574379.4034533863,2086737.2792495978,958369.99628
compactiv,1745.2778989999993,12964.37675808545,2090.441633711448,13770.611800000002,2703.220999999999
concreteStrength,667.7021925065617,1171.3285808169771,446.84660941406855,1967.5413807359996,1068.1097477000008
cpu_small,1645.2976759000012,5637.473375566707,1992.3491241962388,4862.29004,2851.3759999999997
debutanizer,0.5997290699604282,2.127390127860558,0.4913666095205925,0.6395557319038696,1.161076636470929
forestFires,183456.1301994413,189935.232954221,187133.67143588891,190476.95400062413,192448.0076665
fuel_consumption_country,16.72720917978473,53.179045142488135,15.13754810538544,69.5829344,22.571520000000007
heat,1253.2127421447585,2957.297902601347,543.5997988948495,1862.7054277200004,2193.4924657
kdd_coil_1,3678.6689638870002,5415.078153847002,3839.6631565374773,4900.3655644,5970.92779
lungcancer_shedden,135.02211018363406,161.132321068797,128.09105705420686,170.0382724871389,196.1851685854165
maximal_torque,6710.717078600018,30929.110024632635,6999.070267935244,87393.12687999997,14574.508000000013
meta,29718653.518468976,28738193.184948314,29876539.13090601,27130333.32214246,33254828.099094708
mortgage,1.3692873934900018,1.0100095906827646,1.0300805574340557,1.9153532640000002,2.8138387999999983
pdgfr,0.17480802766230027,0.19866328297611985,0.17230624391253577,0.21831086406905448,0.15434667747524902
sensory,10.794232749999988,15.680459498794857,11.065407367999315,18.075110000000016,13.049500000000005
space_ga,1.8591726718633903,1.7130491099743597,1.4779631227853653,2.0086303545605673,2.5021139407108235
treasury,2.9014835632000056,2.9623695184555556,2.8499842392464765,3.475038251999996,6.268810299999999
triazines,0.1606620366930084,0.27851408924457344,0.1628190964087065,0.23808763380000006,0.21059922249999996
wine_quality,107.90288269999999,140.67671179861867,104.9519284545376,124.94400000000005,143.08400000000003
