,nr_inst,nr_attr,inst_to_attr,mean_of_means,mean_of_stds,mean_skewness,mean_kurtosis,mean_abs_correlation,prop_high_correlation,target_skewness,target_cv,mean_relevance,prop_rare_instances
a1,198.0,11.0,18.0,6729.079470862071,16904.281937710024,3.245194566166998,28.490430729027143,0.10987842673619212,0.0,1.4737979031619848,1.2603628675004912,0.1595330317134828,0.15656565656565657
a2,198.0,11.0,18.0,6729.079470862071,16904.281937710024,3.245194566166998,28.490430729027143,0.10987842673619212,0.0,2.4294704274748105,1.4811798168454957,0.12703905275967362,0.12121212121212122
a3,198.0,11.0,18.0,6729.079470862071,16904.281937710024,3.245194566166998,28.490430729027143,0.10987842673619212,0.0,2.4860596576573735,1.609652707109316,0.1700590494560344,0.1717171717171717
a7,198.0,11.0,18.0,6729.079470862071,16904.281937710024,3.245194566166998,28.490430729027143,0.10987842673619212,0.0,3.752928671038118,2.0831353475950336,0.16091470258136922,0.14646464646464646
abalone,4177.0,8.0,522.125,155.85781371199425,199.87568013690097,0.8045762980994855,-0.27444565506150337,0.12107138105311553,0.0,1.114101898355677,0.3245693019774076,0.22323304870587612,0.16255685898970554
acceleration,1732.0,14.0,123.71428571428571,1919.0079032497524,1428.8732379259086,2.7682311239949966,27.401077182449825,0.15451301169889134,0.025510204081632654,0.7701104902639844,0.29033817008570467,0.15441365152681558,0.10219399538106236
airfoild,1503.0,5.0,300.6,588.8342615090123,634.8341480827164,1.0443446377081012,0.9825444073946624,0.21858209312413462,0.04,-2.7572031945721913,0.31402927227698996,0.17485001425017646,0.11377245508982035
analcatdata_apnea3,450.0,11.0,40.90909090909091,1.0454545454545454,0.8362139590215721,1.3682012639401913,0.13227526196808578,0.09090909090909093,0.0,5.015906385287476,3.8080023103365175,0.06134914124068589,0.042222222222222223
available_power,1802.0,15.0,120.13333333333334,197.16756781354044,166.41968525138827,4.18901273590568,149.24285723617078,0.1497209857577023,0.017777777777777778,1.905213417936264,0.4958187004790317,0.17442130385265464,0.10543840177580466
boston,506.0,13.0,38.92307692307692,22690.141717847375,14127.951869781642,0.692847897812116,4.185145027105586,0.2609171795274727,0.011834319526627219,1.1080984082549072,0.40816505299380673,0.2455012163339817,0.22134387351778656
california,20640.0,8.0,2580.0,630.9062292242006,517.0349869467369,2.227731409613121,18.983688746334593,0.3137077851270394,0.109375,0.9777632739098342,0.5578553100357156,0.15791714607161694,0.10300387596899224
cocomo_numeric,60.0,56.0,1.0714285714285714,1.599791666666667,2.0882481924578444,2.1684076414315294,9.829493255464614,0.203005035421167,0.013073979591836735,2.6815951523530632,1.6164963497847686,0.18989676290463695,0.16666666666666666
compactiv,8192.0,21.0,390.0952380952381,77423.0389258975,38448.585308642025,5.398356926130636,82.69398017053803,0.23980213784003893,0.024943310657596373,-3.4167496030437094,0.21915150282867146,0.14044971955128205,0.09814453125
concreteStrength,1030.0,8.0,128.75,298.6481917475728,62.90132700541056,0.7256663746954778,1.3304465409767015,0.20748691226489352,0.0,0.416977288410718,0.4664068366407776,0.15232132999967524,0.0825242718446602
cpu_small,8192.0,12.0,682.6666666666666,135460.4337241618,67245.7483771679,5.074304624464147,77.06930335086304,0.23051903102859045,0.013888888888888888,-3.4167496030437094,0.21915150282867146,0.14044971955128205,0.09814453125
debutanizer,2394.0,7.0,342.0,0.5506256697792099,0.13758156731924134,-0.9820336516332462,8.665557707778314,0.26509924332301066,0.04081632653061224,1.709886623837059,0.5935419108330713,0.19467391830452632,0.15413533834586465
forestFires,517.0,12.0,43.083333333333336,70.53328497743392,29.52471376982696,1.2791175015025908,42.501276850063945,0.16252012421116668,0.006944444444444444,12.846933533934866,4.954804337203941,0.020838057332283527,0.007736943907156673
fuel_consumption_country,1764.0,37.0,47.67567567567568,1797.5746652264513,832.8395040645553,4.110721253744282,193.48226651291486,0.10320764026193763,0.006574141709276844,1.138812917029123,0.2542825297776168,0.16457905913688237,0.11281179138321995
heat,7400.0,11.0,672.7272727272727,580.5256621621621,414.80722129005176,0.21568460899204514,1.2551659675627793,0.21159591120993665,0.03305785123966942,1.6343241879274342,0.8162705346839134,0.15297919209532113,0.10554054054054055
kdd_coil_1,316.0,18.0,17.555555555555557,23.044994422840908,23.69763183034865,1.1041069164411714,1.708244916222184,0.17584814287112047,0.006172839506172839,1.4556967366783564,1.2337216422653412,0.13094498845633312,0.11392405063291139
lungcancer_shedden,442.0,24.0,18.416666666666668,9.163040873360616,0.8839399594613536,0.6062905225776712,2.081229784068349,0.1430470833701297,0.012152777777777778,0.9459019533887482,0.6890147897778186,0.12730340745457389,0.06334841628959276
maximal_torque,1802.0,32.0,56.3125,1789.9417931118203,1269.7778304518042,1.3389246652631015,132.19300958861592,0.11860208171891443,0.0068359375,1.6351127119472626,0.4549810999481895,0.14151868294487605,0.09045504994450611
meta,528.0,65.0,8.123076923076923,237.41527214552116,307.9861649351392,3.6216604741546936,14.102045981550635,0.06373439468084066,0.00378698224852071,14.693831886487217,7.680531122184193,0.013121456656088333,0.007575757575757576
mortgage,1049.0,15.0,69.93333333333334,508.96216275818244,181.95857173336557,0.6449457110427324,-0.0745916673220566,0.8161218409725017,0.38666666666666666,1.0297022136075478,0.4116931600316681,0.17474476889402524,0.12488083889418494
