,AR,MR,SW,A1,A2,HARRIS(L=0.0)
a1,0.8999999999999998,0.7905694150420948,0.7,0.9999999999999999,0.8999999999999998,0.9999999999999999
a2,0.7,0.4743416490252569,0.39999999999999997,0.39999999999999997,0.8999999999999998,0.8999999999999998
a3,0.39999999999999997,0.15811388300841897,0.0,0.0,0.39999999999999997,0.7
a7,0.8999999999999998,0.9486832980505138,0.7999999999999999,0.8999999999999998,0.49999999999999994,0.7999999999999999
abalone,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.8999999999999998,0.8999999999999998,0.8999999999999998
acceleration,0.7999999999999999,0.9486832980505138,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.9999999999999999
airfoild,0.7,0.6324555320336759,0.6,0.49999999999999994,0.49999999999999994,0.49999999999999994
analcatdata_apnea3,0.6,0.31622776601683794,0.3,0.3,0.49999999999999994,0.49999999999999994
available_power,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.8999999999999998
boston,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.9999999999999999,0.49999999999999994,0.7999999999999999
california,0.7999999999999999,0.9486832980505138,0.8999999999999998,0.8999999999999998,0.7,0.8999999999999998
cocomo_numeric,0.8999999999999998,0.9486832980505138,0.9999999999999999,-0.6,0.7,0.7
compactiv,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.6,0.8999999999999998,0.8999999999999998
concreteStrength,0.7999999999999999,0.9486832980505138,0.8999999999999998,0.9999999999999999,0.8999999999999998,0.6
cpu_small,0.9999999999999999,0.9486832980505138,0.8999999999999998,0.7,0.8999999999999998,0.8999999999999998
debutanizer,0.7999999999999999,0.7905694150420948,0.6,0.3,0.7,0.8999999999999998
forestFires,0.6,0.6324555320336759,0.7,0.19999999999999998,0.49999999999999994,0.8999999999999998
fuel_consumption_country,0.7999999999999999,0.9486832980505138,0.8999999999999998,0.6,0.8999999999999998,0.8999999999999998
heat,0.7999999999999999,0.7905694150420948,0.6,0.6,0.8999999999999998,0.8999999999999998
kdd_coil_1,0.7,0.6324555320336759,0.6,0.6,0.9999999999999999,0.7
lungcancer_shedden,0.49999999999999994,0.6324555320336759,0.6,-0.09999999999999999,0.6,0.49999999999999994
maximal_torque,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.8999999999999998
meta,-0.49999999999999994,-0.6324555320336759,-0.6,0.09999999999999999,-0.09999999999999999,-0.49999999999999994
mortgage,-0.19999999999999998,0.0,0.09999999999999999,0.19999999999999998,0.6,0.7
pdgfr,0.49999999999999994,0.6324555320336759,0.6,0.49999999999999994,0.49999999999999994,0.49999999999999994
sensory,0.8999999999999998,0.9486832980505138,0.9999999999999999,0.3,0.6,0.6
space_ga,0.09999999999999999,0.31622776601683794,0.3,0.3,0.20519567041703082,0.3
treasury,0.49999999999999994,0.6324555320336759,0.6,0.7,0.7999999999999999,0.9999999999999999
triazines,0.9999999999999999,0.9486832980505138,0.8999999999999998,0.9999999999999999,0.8999999999999998,0.7999999999999999
wine_quality,0.6,0.6324555320336759,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.6
